product_id,product_name,category
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Machines
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Copiers
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Copiers
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Machines
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Machines
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Machines
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Bookcases
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Machines
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Binders
TEC-PH-10002885,Apple iPhone 5,Phones
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Accessories
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Binders
TEC-MA-10000488,Bady BDG101FRU Card Printer,Machines
TEC-CO-10004115,Sharp AL-1530CS Digital Copier,Copiers
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Machines
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Binders
OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,Storage
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Chairs
OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",Storage
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories
TEC-AC-10002637,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Accessories
FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,Chairs
